id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,fplid,xG90,npxG90,xA90
4476,Callum Robinson,27,1518,5,3.0396126806735992,0,0.9884877055883408,27,15,0,0,F M S,West Bromwich Albion,5,3.0396126806735992,4.933082580566406,1.5240129679441452,484,0.1802141905537707,0.1802141905537707,0.05860599044990163
6048,Lewis Dunk,32,2844,5,2.6992577090859413,0,0.830638368614018,31,10,5,2,D,Brighton,5,2.6992577090859413,8.265677943825724,7.870708651840688,62,0.08541954775588421,0.08541954775588421,0.026286024323228414
6382,Pedro Neto,31,2570,5,5.494995640590787,6,5.738268097862601,62,61,4,0,F M S,Wolverhampton Wanderers,5,5.494995640590787,11.516661681234837,4.206935252994299,474,0.19243175395065013,0.19243175395065013,0.2009510228823479
6827,Bobby Reid,31,2214,5,4.269851532764733,1,0.9301537703722716,34,13,7,0,D F M S,Fulham,5,4.269851532764733,7.760073062963784,3.06835912540555,181,0.17357120051889158,0.17357120051889158,0.03781112887692161
6853,Rúben Neves,34,2501,5,4.715056136250496,1,1.983354183845222,65,31,7,0,M S,Wolverhampton Wanderers,2,2.4315496180206537,6.749752834439278,4.476360370405018,466,0.16967415124452004,0.08750078593436979,0.0713722017377329
7322,Bukayo Saka,30,2493,5,7.169173587113619,3,4.490779175423086,61,37,1,0,D F M S,Arsenal,5,7.169173587113619,17.895904053002592,8.80488870386034,24,0.25881493094272995,0.25881493094272995,0.16212199189253018
87,Joelinton,30,1955,4,5.210528092458843,2,2.366481453180313,41,17,3,0,F M S,Newcastle United,3,4.449359254911542,8.384317396208644,2.821438552811742,340,0.2398708584763662,0.20482983782201472,0.10894288019755917
502,Olivier Giroud,16,749,4,5.070415806025267,0,1.1757991276681423,29,6,1,0,F S,Chelsea,4,5.070415806025267,5.245491370558738,1.7113372217863798,103,0.6092622463848785,0.6092622463848785,0.14128427435264726
553,Anthony Martial,22,1494,4,7.405651165172457,3,2.6198029601946478,42,17,0,1,F M S,Manchester United,4,7.405651165172457,11.814813017845154,3.3195053301751614,303,0.44612356416701543,0.44612356416701543,0.1578194554334125
586,John Stones,20,1753,4,2.3939535319805145,0,0.046839521266520016,14,2,0,1,D,Manchester City,4,2.3939535319805145,9.842463970184326,9.74279487133026,273,0.12290691265159516,0.12290691265159516,0.002404767207066059
2662,Christian Pulisic,25,1559,4,5.873128302395344,1,2.325320916250348,39,23,2,0,F M S,Chelsea,4,5.873128302395344,12.149665001779795,5.613761723972857,119,0.3390516659496991,0.3390516659496991,0.1342391805404306
4105,Raúl Jiménez,10,824,4,2.360909685492516,0,0.6329625025391579,26,6,0,0,F,Wolverhampton Wanderers,4,2.360909685492516,3.684076260775328,1.2332111839205029,460,0.25786634914360007,0.25786634914360007,0.06913425391811191
4381,Mateusz Klich,35,2404,4,2.9999587903730567,5,3.650850465521216,36,44,6,0,M S,Leeds,2,1.4776211227290332,14.60811685398221,10.386438000015914,198,0.11231126919033906,0.05531859444493053,0.13667909396710043
5220,Kai Havertz,26,1501,4,5.493105782195926,3,1.5533819152042267,29,18,2,0,F M S,Chelsea,4,5.493105782195926,9.83903515059501,4.789780588820578,500,0.3293667690856984,0.3293667690856984,0.0931408210315659
5556,Ademola Lookman,32,2610,4,6.135379766114056,4,4.878914166241883,67,58,4,0,F M S,Fulham,4,5.374210898764432,14.848687030375006,7.259675840847193,557,0.21156481952117434,0.18531761719877354,0.1682384195255822
5560,Scott McTominay,31,2058,4,1.8146747704595327,1,2.0856062062084675,25,16,3,0,M S,Manchester United,4,1.8146747704595327,10.690140835940838,7.744732905179262,309,0.0793589549763644,0.0793589549763644,0.09120726849308167
6893,Stuart Armstrong,31,2611,4,2.5126980105414987,5,2.435812976211309,48,31,3,0,M S,Southampton,4,2.5126980105414987,9.191531762480736,6.083766320720315,368,0.0866115744728973,0.0866115744728973,0.08396138179204052
7420,Miguel Almirón,32,2287,4,3.4125761762261386,1,3.122618587687612,30,30,3,0,F M S,Newcastle United,4,3.4125761762261386,8.56020669080317,3.27436211053282,339,0.13429464620041648,0.13429464620041648,0.12288398464883475
7698,Leandro Trossard,33,2539,4,5.236391356214881,5,5.324094532057644,57,48,2,0,F M S,Brighton,4,5.236391356214881,15.50787047483027,7.331970952451229,69,0.18561450258343412,0.18561450258343412,0.18872331937187395
8706,Eberechi Eze,34,2570,4,2.4945721421390767,6,3.741961938329041,37,42,3,0,M S,Crystal Palace,4,2.4945721421390767,7.996477495878935,3.959954559803009,489,0.08735855750681591,0.08735855750681591,0.13104146865743724
8778,Fabio Silva,30,1161,4,5.852362044155598,2,1.0354305505752563,43,10,2,0,F S,Wolverhampton Wanderers,3,5.091193214058876,4.831416890025139,1.0702383313328028,220,0.4536714762911316,0.39466614062471905,0.08026593415312064
101,Allan Saint-Maximin,23,1436,3,2.7120423167943954,4,3.9056423837319016,27,27,0,0,F M S,Newcastle United,3,2.7120423167943954,9.232184905558825,3.0110092144459486,338,0.16997479701357632,0.16997479701357632,0.24478260065172086
111,Jannik Vestergaard,28,2391,3,1.9914242196828127,0,0.7236679829657078,21,6,3,1,D S,Southampton,3,1.9914242196828127,5.672619847580791,5.614992752671242,369,0.07495950638705694,0.07495950638705694,0.02723969822957495
239,Pascal Groß,32,2289,3,4.943218618631364,7,5.144720702432097,30,66,3,0,D M S,Brighton,0,1.89858004078269,10.316775478422644,6.665403697639704,57,0.19435984083740618,0.07464928076471913,0.20228259642590157
503,Theo Walcott,21,1581,3,2.2806766424328093,3,1.2631027586758137,29,17,0,0,F M S,"Everton,Southampton",3,2.2806766424328093,5.465319365262985,2.146890066564083,148,0.12982978989181077,0.12982978989181077,0.07190338284682052
592,Ross Barkley,26,1574,3,3.6999339712783694,1,4.31900261156261,39,40,0,0,M S,"Aston Villa,Chelsea",3,3.6999339712783694,9.896902839653194,3.7172514870762825,106,0.21155912161058024,0.21155912161058024,0.24695694729392306
669,Ashley Westwood,36,3232,3,1.0059903170913458,3,6.3323968928307295,19,48,7,0,M,Burnley,3,1.0059903170913458,9.59491271711886,5.891241502948105,89,0.028013344225934753,0.028013344225934753,0.1763353095157072
773,Aleksandar Mitrovic,27,1369,3,5.677362998947501,3,2.924711154773832,59,23,3,0,F S,Fulham,2,4.155025308951736,7.808299113065004,1.8494821228086948,184,0.3732378889008584,0.2731572518668052,0.19227465590185894
804,Craig Dawson,20,1745,3,2.669330517295748,0,0.054468296468257904,14,2,2,1,D,West Ham,3,2.669330517295748,2.824417190626264,2.824417190626264,576,0.13767320719576923,0.13767320719576923,0.0028092531129760524
964,Kyle Bartley,28,2401,3,2.508424744009972,1,0.7080229632556438,13,6,4,0,D S,West Bromwich Albion,3,2.508424744009972,2.4327073488384485,1.4993401113897562,412,0.09402675008783735,0.09402675008783735,0.02653980287089044
1017,Matej Vydra,26,1309,3,5.373272832483053,2,2.118340734392405,35,14,0,0,F S,Burnley,3,5.373272832483053,6.4258574545383444,1.0472040101885796,93,0.3694381626611725,0.3694381626611725,0.14564603979779714
1653,Michael Keane,33,2806,3,1.5046916585415602,1,1.0852528270334003,16,7,4,0,D S,Everton,3,1.5046916585415602,6.6667152512818575,6.3905524630099535,156,0.04826167115778347,0.04826167115778347,0.03480853686137064
1740,Paul Pogba,25,1803,3,2.8549851682037115,3,1.98072231002152,30,22,3,0,M S,Manchester United,3,2.8549851682037115,11.051841720938683,7.023932062089442,296,0.14251173884544316,0.14251173884544316,0.0988713299511574
2335,Pablo Fornals,31,2423,3,5.273359628394246,3,2.024761916138232,41,27,3,0,F M S,West Ham,3,5.273359628394246,13.9082245901227,7.9414889831095925,450,0.19587386155818498,0.19587386155818498,0.07520783014958353
3293,Lucas Moura,29,1372,3,1.9466326590627432,4,2.0640352852642536,18,16,1,0,F M S,Tottenham,3,1.9466326590627432,7.430767074227332,5.116793677210809,392,0.1276945621834161,0.1276945621834161,0.13539590063686796
3428,Hélder Costa,22,1152,3,2.598154854029417,3,0.6283337883651257,16,7,0,0,M S,Leeds,3,2.598154854029417,4.516011323779821,2.2073262743651867,205,0.2029808479710482,0.2029808479710482,0.04908857721602544
3491,Romain Saïss,26,2319,3,3.099967914633453,0,0.6484399586915971,27,4,2,0,D,Wolverhampton Wanderers,3,3.099967914633453,4.538973003625871,3.720982971601188,461,0.1203092334269128,0.1203092334269128,0.025165845744822658
3683,Ivan Cavaleiro,34,2297,3,5.039956424385308,0,2.5377643639221787,43,39,2,0,D F M S,Fulham,2,3.517618704587221,7.481412965804338,2.6059668790549044,187,0.19747325998897594,0.1378257219907923,0.09943351883021162
4422,Ashley Barnes,21,1341,3,3.874066237360239,0,0.8005475150421262,38,19,4,0,F M S,Burnley,2,3.1128973700106144,4.19031529314816,1.1986291762441397,87,0.26000444546041873,0.20891928657789358,0.05372802114376685
5587,Josh Maja,14,784,3,4.855028033256532,0,0.6545550748705864,20,6,0,0,F S,Fulham,2,4.0938591957092285,4.297720648348332,0.6455439738929272,665,0.5573374017768978,0.4699583260380492,0.07514025094177651
5595,Daniel James,14,830,3,1.943296812474728,0,0.7408441361039877,16,7,3,0,M S,Manchester United,3,1.943296812474728,4.2842077165842065,1.735916318371892,311,0.2107189314731633,0.2107189314731633,0.08033249668597457
5962,Tanguy NDombele Alvaro,32,2129,3,1.5304815424606204,2,2.1263335961848497,18,14,3,0,M S,Tottenham,3,1.5304815424606204,10.837185561656954,7.908005572855473,405,0.06469860912233717,0.06469860912233717,0.0898872821308767
